Opmode; comp.;tech_ID;MITRE_ID;tech_name;tactic;platforms;CVSS_Exp;Impact;Detectability;Risk;Rating;Mitigations
Mode 1;Data Historian;IT-Tech-11;T1564.006;Run Virtual Instance;defense-evasion; ['Linux', 'macOS', 'Windows'];2,83525473;0,0;1;0,0;Low;['Disable or Remove Feature or Program', 'Execution Prevention'];
Mode 1;Data Historian;IT-Tech-12;T1564.005;Hidden File System;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-13;T1574.012;COR_PROFILER;persistence; ['Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Execution Prevention', 'Restrict Registry Permissions', 'User Account Management'];
Mode 1;Data Historian;IT-Tech-14;T1574.012;COR_PROFILER;privilege-escalation; ['Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Execution Prevention', 'Restrict Registry Permissions', 'User Account Management'];
Mode 1;Data Historian;IT-Tech-15;T1574.012;COR_PROFILER;defense-evasion; ['Windows'];1,83457659;0,0;0,5;0,0;Low;['Execution Prevention', 'Restrict Registry Permissions', 'User Account Management'];
Mode 1;Data Historian;IT-Tech-16;T1480.001;Environmental Keying;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;0,0;1;0,0;Low;['Do Not Mitigate'];
Mode 1;Data Historian;IT-Tech-17;T1059.007;JavaScript;execution; ['Windows', 'macOS', 'Linux'];1,338161748;0,0;0,65;0,0;Low;['Disable or Remove Feature or Program', 'Execution Prevention', 'Behavior Prevention on Endpoint', 'Restrict Web-Based Content'];
Mode 1;Data Historian;IT-Tech-18;T1127.001;MSBuild;defense-evasion; ['Windows'];2,515145325;0,0;1;0,0;Low;['Disable or Remove Feature or Program', 'Execution Prevention'];
Mode 1;Data Historian;IT-Tech-19;T1027.005;Indicator Removal from Tools;defense-evasion; ['Linux', 'macOS', 'Windows'];2,515145325;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-20;T1562.006;Indicator Blocking;defense-evasion; ['Windows', 'macOS', 'Linux'];2,515145325;0,0;0,5;0,0;Low;['Restrict File and Directory Permissions', 'User Account Management', 'Software Configuration'];
Mode 1;Data Historian;IT-Tech-21;T1573.002;Asymmetric Cryptography;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['SSL/TLS Inspection', 'Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-22;T1573.001;Symmetric Cryptography;command-and-control; ['Linux', 'Windows', 'macOS'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-23;T1573;Encrypted Channel;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['SSL/TLS Inspection', 'Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-24;T1027.004;Compile After Delivery;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-25;T1546.015;Component Object Model Hijacking;privilege-escalation; ['Windows'];1,83457659;0,0747222222222222;1;0,13708363964166662;Low;[];
Mode 1;Data Historian;IT-Tech-26;T1546.015;Component Object Model Hijacking;persistence; ['Windows'];1,83457659;0,0747222222222222;1;0,13708363964166662;Low;[];
Mode 1;Data Historian;IT-Tech-27;T1071.004;DNS;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;0,6;0,0;Low;['Pre-compromise', 'Network Intrusion Prevention', 'Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-28;T1071.003;Mail Protocols;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-29;T1071.002;File Transfer Protocols;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-30;T1071.001;Web Protocols;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-31;T1572;Protocol Tunneling;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;0,6;0,0;Low;['Network Intrusion Prevention', 'Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-32;T1048.003;Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;0,5081111114100002;0,6;1,1850297747020766;Low;['Network Segmentation', 'Data Loss Prevention', 'Network Intrusion Prevention', 'Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-33;T1048.002;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;0,5081111114100002;0,6;1,1850297747020766;Low;['Network Segmentation', 'Data Loss Prevention', 'Network Intrusion Prevention', 'Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-34;T1048.001;Exfiltration Over Symmetric Encrypted Non-C2 Protocol;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;0,5081111114100002;0,6;1,1850297747020766;Low;['Network Segmentation', 'Network Intrusion Prevention', 'Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-35;T1001.003;Protocol Impersonation;command-and-control; ['Linux', 'Windows', 'macOS'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-36;T1001.002;Steganography;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-37;T1001.001;Junk Data;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-38;T1132.002;Non-Standard Encoding;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-39;T1132.001;Standard Encoding;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-40;T1090.004;Domain Fronting;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['Execution Prevention', 'SSL/TLS Inspection'];
Mode 1;Data Historian;IT-Tech-41;T1090.003;Multi-hop Proxy;command-and-control; ['Linux', 'macOS', 'Windows', 'Network'];3,887042775;0,0;0,6;0,0;Low;['Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-42;T1090.002;External Proxy;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-43;T1090.001;Internal Proxy;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;1;0,0;Low;['Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-44;T1102.003;One-Way Communication;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;0,0;1;0,0;Low;['Restrict Web-Based Content', 'Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-45;T1102.002;Bidirectional Communication;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;0,0;1;0,0;Low;['Restrict Web-Based Content', 'Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-46;T1102.001;Dead Drop Resolver;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;0,0;1;0,0;Low;['Restrict Web-Based Content', 'Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-47;T1571;Non-Standard Port;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;0,0;0,4;0,0;Low;['Network Segmentation', 'Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-48;T1074.002;Remote Data Staging;collection; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure'];3,887042775;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-49;T1074.001;Local Data Staging;collection; ['Linux', 'macOS', 'Windows'];2,515145325;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-50;T1564.004;NTFS File Attributes;defense-evasion; ['Windows'];2,515145325;0,0;1;0,0;Low;['Restrict File and Directory Permissions'];
Mode 1;Data Historian;IT-Tech-51;T1564.003;Hidden Window;defense-evasion; ['macOS', 'Windows'];1,83457659;0,0;1;0,0;Low;['Execution Prevention'];
Mode 1;Data Historian;IT-Tech-52;T1078.003;Local Accounts;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;0,0;0,5;0,0;Low;['Privileged Account Management', 'Password Policies'];
Mode 1;Data Historian;IT-Tech-53;T1078.003;Local Accounts;persistence; ['Linux', 'macOS', 'Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Privileged Account Management', 'Password Policies'];
Mode 1;Data Historian;IT-Tech-54;T1078.003;Local Accounts;privilege-escalation; ['Linux', 'macOS', 'Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Privileged Account Management', 'Password Policies'];
Mode 1;Data Historian;IT-Tech-55;T1078.003;Local Accounts;initial-access; ['Linux', 'macOS', 'Windows'];1,83457659;0,5081111114100002;0,5;0,4660843750558341;Low;['Privileged Account Management', 'Password Policies'];
Mode 1;Data Historian;IT-Tech-56;T1078.002;Domain Accounts;defense-evasion; ['Linux', 'macOS', 'Windows'];1,04832948;0,0;0,55;0,0;Low;['Multi-factor Authentication', 'Privileged Account Management', 'User Training'];
Mode 1;Data Historian;IT-Tech-57;T1078.002;Domain Accounts;persistence; ['Linux', 'macOS', 'Windows'];1,04832948;0,0747222222222222;0,55;0,04308342960166666;Low;['Multi-factor Authentication', 'Privileged Account Management', 'User Training'];
Mode 1;Data Historian;IT-Tech-58;T1078.002;Domain Accounts;privilege-escalation; ['Linux', 'macOS', 'Windows'];1,04832948;0,0747222222222222;0,55;0,04308342960166666;Low;['Multi-factor Authentication', 'Privileged Account Management', 'User Training'];
Mode 1;Data Historian;IT-Tech-59;T1078.002;Domain Accounts;initial-access; ['Linux', 'macOS', 'Windows'];1,04832948;0,5081111114100002;0,55;0,2929673214636672;Low;['Multi-factor Authentication', 'Privileged Account Management', 'User Training'];
Mode 1;Data Historian;IT-Tech-60;T1078.001;Default Accounts;defense-evasion; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure', 'Office 365', 'Azure AD', 'SaaS'];1,83457659;0,0;0,5;0,0;Low;['Password Policies'];
Mode 1;Data Historian;IT-Tech-61;T1078.001;Default Accounts;persistence; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure', 'Office 365', 'Azure AD', 'SaaS'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Password Policies'];
Mode 1;Data Historian;IT-Tech-62;T1078.001;Default Accounts;privilege-escalation; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure', 'Office 365', 'Azure AD', 'SaaS'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Password Policies'];
Mode 1;Data Historian;IT-Tech-63;T1078.001;Default Accounts;initial-access; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure', 'Office 365', 'Azure AD', 'SaaS'];1,83457659;0,5081111114100002;0,5;0,4660843750558341;Low;['Password Policies'];
Mode 1;Data Historian;IT-Tech-64;T1574.002;DLL Side-Loading;persistence; ['Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['Restrict File and Directory Permissions', 'Audit', 'Update Software', 'Application Developer Guidance'];
Mode 1;Data Historian;IT-Tech-65;T1574.002;DLL Side-Loading;privilege-escalation; ['Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['Restrict File and Directory Permissions', 'Audit', 'Update Software', 'Application Developer Guidance'];
Mode 1;Data Historian;IT-Tech-66;T1574.002;DLL Side-Loading;defense-evasion; ['Windows'];2,515145325;0,0;0,5;0,0;Low;['Restrict File and Directory Permissions', 'Audit', 'Update Software', 'Application Developer Guidance'];
Mode 1;Data Historian;IT-Tech-67;T1574.001;DLL Search Order Hijacking;persistence; ['Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['Execution Prevention', 'Audit', 'Restrict Library Loading'];
Mode 1;Data Historian;IT-Tech-68;T1574.001;DLL Search Order Hijacking;privilege-escalation; ['Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['Execution Prevention', 'Audit', 'Restrict Library Loading'];
Mode 1;Data Historian;IT-Tech-69;T1574.001;DLL Search Order Hijacking;defense-evasion; ['Windows'];2,515145325;0,0;0,5;0,0;Low;['Execution Prevention', 'Audit', 'Restrict Library Loading'];
Mode 1;Data Historian;IT-Tech-70;T1574.008;Path Interception by Search Order Hijacking;persistence; ['Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-71;T1574.008;Path Interception by Search Order Hijacking;privilege-escalation; ['Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-72;T1574.008;Path Interception by Search Order Hijacking;defense-evasion; ['Windows'];1,83457659;0,0;0,5;0,0;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-73;T1574.007;Path Interception by PATH Environment Variable;persistence; ['Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-74;T1574.007;Path Interception by PATH Environment Variable;privilege-escalation; ['Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-75;T1574.007;Path Interception by PATH Environment Variable;defense-evasion; ['Windows'];2,515145325;0,0;0,5;0,0;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-76;T1574.009;Path Interception by Unquoted Path;persistence; ['Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-77;T1574.009;Path Interception by Unquoted Path;privilege-escalation; ['Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-78;T1574.009;Path Interception by Unquoted Path;defense-evasion; ['Windows'];2,515145325;0,0;0,5;0,0;Low;['Restrict File and Directory Permissions', 'Execution Prevention', 'Audit'];
Mode 1;Data Historian;IT-Tech-79;T1574.011;Services Registry Permissions Weakness;persistence; ['Windows'];1,83457659;0,0747222222222222;1;0,13708363964166662;Low;['Restrict Registry Permissions'];
Mode 1;Data Historian;IT-Tech-80;T1574.011;Services Registry Permissions Weakness;privilege-escalation; ['Windows'];1,83457659;0,0747222222222222;1;0,13708363964166662;Low;['Restrict Registry Permissions'];
Mode 1;Data Historian;IT-Tech-81;T1574.011;Services Registry Permissions Weakness;defense-evasion; ['Windows'];1,83457659;0,0;1;0,0;Low;['Restrict Registry Permissions'];
Mode 1;Data Historian;IT-Tech-82;T1574.005;Executable Installer File Permissions Weakness;persistence; ['Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Audit', 'User Account Management', 'User Account Control'];
Mode 1;Data Historian;IT-Tech-83;T1574.005;Executable Installer File Permissions Weakness;privilege-escalation; ['Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Audit', 'User Account Management', 'User Account Control'];
Mode 1;Data Historian;IT-Tech-84;T1574.005;Executable Installer File Permissions Weakness;defense-evasion; ['Windows'];1,83457659;0,0;0,5;0,0;Low;['Audit', 'User Account Management', 'User Account Control'];
Mode 1;Data Historian;IT-Tech-85;T1574.010;Services File Permissions Weakness;persistence; ['Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Audit', 'User Account Management', 'User Account Control'];
Mode 1;Data Historian;IT-Tech-86;T1574.010;Services File Permissions Weakness;privilege-escalation; ['Windows'];1,83457659;0,0747222222222222;0,5;0,06854181982083331;Low;['Audit', 'User Account Management', 'User Account Control'];
Mode 1;Data Historian;IT-Tech-87;T1574.010;Services File Permissions Weakness;defense-evasion; ['Windows'];1,83457659;0,0;0,5;0,0;Low;['Audit', 'User Account Management', 'User Account Control'];
Mode 1;Data Historian;IT-Tech-88;T1574;Hijack Execution Flow;persistence; ['Linux', 'macOS', 'Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['User Account Management', 'Execution Prevention', 'Audit', 'Update Software', 'User Account Control', 'Restrict Registry Permissions', 'Restrict File and Directory Permissions', 'Application Developer Guidance', 'Restrict Library Loading'];
Mode 1;Data Historian;IT-Tech-89;T1574;Hijack Execution Flow;privilege-escalation; ['Linux', 'macOS', 'Windows'];2,515145325;0,0747222222222222;0,5;0,09396862394791665;Low;['User Account Management', 'Execution Prevention', 'Audit', 'Update Software', 'User Account Control', 'Restrict Registry Permissions', 'Restrict File and Directory Permissions', 'Application Developer Guidance', 'Restrict Library Loading'];
Mode 1;Data Historian;IT-Tech-90;T1574;Hijack Execution Flow;defense-evasion; ['Linux', 'macOS', 'Windows'];2,515145325;0,0;0,5;0,0;Low;['User Account Management', 'Execution Prevention', 'Audit', 'Update Software', 'User Account Control', 'Restrict Registry Permissions', 'Restrict File and Directory Permissions', 'Application Developer Guidance', 'Restrict Library Loading'];
Mode 1;Data Historian;IT-Tech-91;T1069.001;Local Groups;discovery; ['Linux', 'macOS', 'Windows'];1,83457659;0,5081111114100002;1;0,9321687501116682;Low;[];
Mode 1;Data Historian;IT-Tech-92;T1570;Lateral Tool Transfer;lateral-movement; ['Linux', 'macOS', 'Windows'];2,83525473;0,0;0,6;0,0;Low;['Network Intrusion Prevention', 'Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-93;T1568.003;DNS Calculation;command-and-control; ['Linux', 'macOS', 'Windows'];2,515145325;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-94;T1204.002;Malicious File;execution; ['Linux', 'macOS', 'Windows'];1,338161748;0,0;0,55;0,0;Low;['Execution Prevention', 'Behavior Prevention on Endpoint', 'User Training'];
Mode 1;Data Historian;IT-Tech-95;T1204.001;Malicious Link;execution; ['Linux', 'macOS', 'Windows'];1,338161748;0,0;0,65;0,0;Low;['Restrict Web-Based Content', 'Network Intrusion Prevention', 'User Training'];
Mode 1;Data Historian;IT-Tech-96;T1195.003;Compromise Hardware Supply Chain;initial-access; ['Linux', 'macOS', 'Windows'];0,9145983;0,5081111114100002;0,5;0,2323587793533484;Low;['Boot Integrity'];
Mode 1;Data Historian;IT-Tech-97;T1195.002;Compromise Software Supply Chain;initial-access; ['Linux', 'macOS', 'Windows'];3,887042775;0,5081111114100002;0,5;0,9875248122517306;Low;['Vulnerability Scanning', 'Update Software'];
Mode 1;Data Historian;IT-Tech-98;T1195.001;Compromise Software Dependencies and Development Tools;initial-access; ['Linux', 'macOS', 'Windows'];3,887042775;0,5081111114100002;0,5;0,9875248122517306;Low;['Vulnerability Scanning', 'Update Software'];
Mode 1;Data Historian;IT-Tech-99;T1568.001;Fast Flux DNS;command-and-control; ['Linux', 'macOS', 'Windows'];2,515145325;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-100;T1052.001;Exfiltration over USB;exfiltration; ['Linux', 'macOS', 'Windows'];1,83457659;0,5081111114100002;0,6;0,5593012500670009;Low;['Disable or Remove Feature or Program', 'Data Loss Prevention', 'Limit Hardware Installation'];
Mode 1;Data Historian;IT-Tech-101;T1569.002;Service Execution;execution; ['Windows'];1,234707705;0,0;0,5;0,0;Low;['Restrict File and Directory Permissions', 'Privileged Account Management', 'Behavior Prevention on Endpoint'];
Mode 1;Data Historian;IT-Tech-102;T1569;System Services;execution; ['Windows', 'macOS'];1,83457659;0,0;0,5;0,0;Low;['Restrict File and Directory Permissions', 'Privileged Account Management', 'Behavior Prevention on Endpoint', 'User Account Management'];
Mode 1;Data Historian;IT-Tech-103;T1568.002;Domain Generation Algorithms;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;0,0;1;0,0;Low;['Domain Generation Algorithms Mitigation', 'Restrict Web-Based Content', 'Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-104;T1568;Dynamic Resolution;command-and-control; ['Linux', 'macOS', 'Windows'];1,83457659;0,0;1;0,0;Low;['Restrict Web-Based Content', 'Network Intrusion Prevention'];
Mode 1;Data Historian;IT-Tech-105;T1011.001;Exfiltration Over Bluetooth;exfiltration; ['Linux', 'macOS', 'Windows'];2,515145325;0,5081111114100002;1;1,2779732864434163;Low;['Disable or Remove Feature or Program', 'Operating System Configuration'];
Mode 1;Data Historian;IT-Tech-106;T1567.002;Exfiltration to Cloud Storage;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;0,5081111114100002;1;1,9750496245034612;Low;['Restrict Web-Based Content'];
Mode 1;Data Historian;IT-Tech-107;T1567.001;Exfiltration to Code Repository;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;0,5081111114100002;1;1,9750496245034612;Low;['Restrict Web-Based Content'];
Mode 1;Data Historian;IT-Tech-108;T1059.006;Python;execution; ['Linux', 'Windows', 'macOS'];0,798928515;0,0;0,6;0,0;Low;['Execution Prevention', 'Audit', 'Antivirus/Antimalware', 'Limit Software Installation'];
Mode 1;Data Historian;IT-Tech-109;T1059.005;Visual Basic;execution; ['Windows', 'macOS', 'Linux'];1,83457659;0,0;0,65;0,0;Low;['Behavior Prevention on Endpoint', 'Disable or Remove Feature or Program', 'Execution Prevention', 'Antivirus/Antimalware', 'Restrict Web-Based Content'];
Mode 1;Data Historian;IT-Tech-110;T1059.003;Windows Command Shell;execution; ['Windows'];1,83457659;0,0;1;0,0;Low;['Execution Prevention'];
Mode 1;Data Historian;IT-Tech-111;T1059.001;PowerShell;execution; ['Windows'];2,83525473;0,0;0,5;0,0;Low;['Disable or Remove Feature or Program', 'Execution Prevention', 'Code Signing', 'Antivirus/Antimalware', 'Privileged Account Management'];
Mode 1;Data Historian;IT-Tech-112;T1567;Exfiltration Over Web Service;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;0,5081111114100002;1;1,9750496245034612;Low;['Data Loss Prevention', 'Restrict Web-Based Content'];
Mode 1;Data Historian;IT-Tech-113;T1497.003;Time Based Evasion;defense-evasion; ['Linux', 'macOS', 'Windows'];2,515145325;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-114;T1497.003;Time Based Evasion;discovery; ['Linux', 'macOS', 'Windows'];2,515145325;0,5081111114100002;1;1,2779732864434163;Low;[];
Mode 1;Data Historian;IT-Tech-115;T1497.002;User Activity Based Checks;defense-evasion; ['Linux', 'macOS', 'Windows'];2,515145325;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-116;T1497.002;User Activity Based Checks;discovery; ['Linux', 'macOS', 'Windows'];2,515145325;0,5081111114100002;1;1,2779732864434163;Low;[];
Mode 1;Data Historian;IT-Tech-117;T1497.001;System Checks;defense-evasion; ['Linux', 'macOS', 'Windows'];2,515145325;0,0;1;0,0;Low;[];
Mode 1;Data Historian;IT-Tech-118;T1497.001;System Checks;discovery; ['Linux', 'macOS', 'Windows'];2,515145325;0,5081111114100002;1;1,2779732864434163;Low;[];
Mode 1;Data Historian;IT-Tech-119;T1498.002;Reflection Amplification;impact; ['macOS', 'Windows', 'Linux', 'AWS', 'Office 365', 'Azure AD', 'GCP', 'Azure', 'SaaS'];3,887042775;0,0;0,6;0,0;Low;['Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-120;T1498.001;Direct Network Flood;impact; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure AD', 'SaaS', 'Azure', 'Office 365'];3,887042775;0,5081111114100002;0,6;1,1850297747020766;Low;['Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-121;T1566.003;Spearphishing via Service;initial-access; ['Linux', 'macOS', 'Windows'];1,83457659;0,5081111114100002;0,65;0,6059096875725843;Low;['Antivirus/Antimalware', 'Restrict Web-Based Content', 'User Training'];
Mode 1;Data Historian;IT-Tech-122;T1566.002;Spearphishing Link;initial-access; ['Linux', 'macOS', 'Windows', 'Office 365', 'SaaS'];2,83525473;0,5081111114100002;0,65;0,936405880793994;Low;['Software Configuration', 'Restrict Web-Based Content', 'User Training'];
Mode 1;Data Historian;IT-Tech-123;T1566.001;Spearphishing Attachment;initial-access; ['macOS', 'Windows', 'Linux'];2,83525473;0,5081111114100002;0,65;0,936405880793994;Low;['Network Intrusion Prevention', 'Software Configuration', 'Antivirus/Antimalware', 'Restrict Web-Based Content', 'User Training'];
Mode 1;Data Historian;IT-Tech-124;T1566;Phishing;initial-access; ['Linux', 'macOS', 'Windows', 'SaaS', 'Office 365'];2,83525473;0,5081111114100002;0,65;0,936405880793994;Low;['Network Intrusion Prevention', 'Software Configuration', 'Antivirus/Antimalware', 'Restrict Web-Based Content', 'User Training'];
