ICS;Loss of View;I2MF;SC;IC;FC;ODC;;RC
Mobile;Manipulate App Store Rankings or Ratings;OOI;SC;IC;;ODC;;
Mobile;Manipulate Device Communication;OOI;SC;IC;FC;ODC;EC;RC
ICS;Manipulation of Control;I2CF;SC;IC;FC;ODC;;
ICS;Manipulation of View;I2MF;SC;IC;;ODC;;
Mobile;Modify System Partition;OOI;SC;IC;FC;;;
Enterprise;Network Denial of Service;OOI;SC;IC;FC;ODC;;RC
Mobile;Network Information Discovery;;;IC;FC;ODC;;
Mobile;Obtain Device Cloud Backups;OOI;SC;IC;FC;ODC;;RC
Enterprise;OS Exhaustion Flood;OOI;SC;;FC;;;
Mobile;persistence;;;IC;;OCC;;
Enterprise;persistence;;;IC;;OCC;;
ICS;persistence-ics;;;IC;;OCC;;
Mobile;privilege-escalation;OOI;SC;IC;FC;OCC;;RC
Enterprise;privilege-escalation;OOI;SC;IC;FC;OCC;;RC
ICS;privilege-escalation-ics;OOI;SC;IC;FC;OCC;;RC
Enterprise;Reflection Amplification;OOI;SC;;;;;
Mobile;Remotely Track Device Without Authorization;;;LIC;FC;ODC;;
Mobile;Remotely Wipe Data Without Authorization;OOI;SC;IC;FC;;;RC
Enterprise;Resource Hijacking;;;;;;;
Mobile;Rogue Cellular Base Station;OOI;SC;IC;FC;ODC;;
Mobile;Rogue Wi-Fi Access Points;OOI;SC;IC;FC;ODC;;
Enterprise;Runtime Data Manipulation;OOI;SC;IC;FC;ODC;;
Enterprise;Service Exhaustion Flood;OOI;SC;IC;FC;ODC;;
Enterprise;Service Stop;OOI;SC;IC;FC;ODC;;
Mobile;SIM Card Swap;;;IC;;ODC;;
Mobile;SMS Control;;;IC;;ODC;;
Enterprise;Stored Data Manipulation;;;IC;FC;ODC;;RC
Enterprise;System Shutdown/Reboot;OOI;SC;IC;FC;ODC;;RC
ICS;Theft of Operational Information;;;IC;FC;ODC;;
Enterprise;Transmitted Data Manipulation;OOI;SC;IC;FC;ODC;;RC
